,Description,num1,div,num2,unit
450,TOPPING WHPD RDY-TO-WP,12,/,32,oz
451,DOUGH BREAD RYE LIGHT W/SEED,24,/,18.5,oz
452,GREEN COLLARD CHOPPED,12,/,3,lb
453,APPLE RED DEL FCY WASH FRESH,1,/,125,ct
454,CELERY FRESH,1,/,36,ct
455,LETTUCE BIBB FRESH,1,/,12,ct
456,CILANTRO BUNCH FRESH,1,/,12,ct
457,LETTUCE SHRED 3/8,4,/,5,lb
458,CREAM HALF AND HALF ORGANIC,12,/,32,oz
459,CHIP POTATO SEA SALT,72,/,.8,oz
460,TOMATILLO FRESH,1,/,40,lb
461,TOMATO FRESH HEIRLOOM,1,/,10,lb
462,NAPKIN BEV 9.5X9.5 2PLY NAVY,4,/,250,ct
463,BOWL PAPER BIODEG SUGARCANE,400,/,40,oz
464,MUSHROOM SLI FRESH,1,/,5,lb
465,POTATO WHL PLD FRESH,1,/,30,lb
466,CARROT DICED FRESH,4,/,5,lb
467,NAPKIN DISP XPRESSNAP WHT,12,/,500,ct
468,WRAP DRY WAX DELI HVY 8X10.75,4,/,500,ct
469,HAM PIT BNLS HICKORY SMKD,2,/,14,#avg
470,BLUEBERRY CULT IQF GR A,1,/,30,lb
471,BEEF ROUND INS TOP CH 168,3,/,23,#avg
472,CUP PAPER HOT PLA 8 OZ,1000,/,8,oz
473,YOGURT PLAIN FAT FREE,6,/,32,oz
474,BREAKFAST BAR NUTRI-GRN STWBRY,96,/,1.55,oz
475,CONTAINER PAPER #1 TK OUT KRFT,180,/,,ct
476,TRAY PAPER CRYOT 10.5X10.5X3.6,1,/,200,ct
477,DOUGH COOKIE SUGAR BUTTER,240,/,1.33,oz
478,SAUSAGE CHORIZO CRUMBLE CKD,2,/,5,lb
479,VEGETABLE BLEND CALIF GR A,12,/,2,lb
480,TEA ICED CONC PEACH 5.5+1,1,/,2.5,gal
481,GRAPEFRUIT RUBY RED FRESH,1,/,40,ct
482,STRAWBERRY FRESH,12,/,1,pint
483,CAKE LYR OCCASION SPL VANILLA,6,/,19.5,oz
484,CAKE LYR CHOC 14CT,4,/,53,oz
485,DOUGH CROISSANT RASP CRM CHS,150,/,1.7,oz
486,YOGURT PLAIN LOW FAT,6,/,32,oz
487,PIE CHERRY RTB OPT 10,6,/,46,oz
488,YOGURT STW/BAN ORIGINAL,12,/,6,oz
489,POTATO H/BRN IQF LOOSE SHRED,6,/,3,lb
490,SAUSAGE BF/PK SMKD ROPE,1,/,11,lb
491,DOUGH BREAD RAISIN,24,/,18.25,z
