,Description,num1,div,num2,unit
2541,SQUASH ZUCCHINI FCY LOCAL,1,/,10,lb
2542,CRACKER GRAHAM ORIG,200,/,2,ct
2543,BEEF CORNED BRSKT RAW GARL 40,2,/,14-18,#
2544,BEEF CORNED BTM RND FLT CKD XG,3,/,5-8,#
2545,SNACK TRAIL MIX CAJN,72,/,2,oz
2546,BOX PIZZA 12 W/K B-FLT 1-7/8,50,/,12x12,""""
2547,DESSERT BAR RASP SAMMIES 16CT,4,/,42,oz
2548,ONION RED WHL PLD JUMBO,1,/,20,lb
2549,BAG GLASSINE SILVERWARE,2000,/,,each
2550,ICE CREAM COFFEE,1,/,3,gal
2551,WATER SPRING,6,/,1,gal
2552,HONEY PURE CUP,200,/,12,gm
2553,EXTRACT ALMOND IMIT,1,/,16,oz
2554,ROLL DINNER ASST PBKD,96,/,1.5,oz
2555,SODA COLA CAFFEINE FREE,48,/,8,oz
2556,SHERBET RAINBOW CUP,1,/,48,pk
2557,DRESSING FRENCH STY FAT FREE,60,/,1.5,oz
2558,SYRUP COFFEE CARAMEL,4,/,1,ltr
2559,MUSHROOM CRIMINI UNSZD #1 FRSH,1,/,5,lb
2560,MILK CHOC 2% GRIP/GO PLAS CHUG,12,/,12,oz
2561,CHICKEN TENDER CLIPPED CVP,4,/,10,lb
2562,TRAY CARRY CRDBOARD 4 CUP,400,/,,each
2563,SPICE ANISE STAR,1,/,6,oz
2564,TOFU FIRM ALL NAT SOGA,12,/,18,oz
2565,BOX PIZZA CORR NON-PRNT B-FLT,50,/,10,in
2566,SYRUP CORN LIGHT N/HIGH FRCTSE,4,/,1,gal
2567,MUSTARD CREOLE STYLE,4,/,1,gal
2568,SAUCE STEAK,24,/,5,oz
2569,SAUCE STEAK GLASS,12,/,10,oz
2570,CRACKER SALTINE ZESTA,300,/,4,pk
2571,PUDDING TAPIOCA ZTF,6,/,,#10
2572,PRUNE PITTED IN JC 190/220 CT,6,/,,#10
2573,SOUP TOMATO LO-SODIUM,24,/,7.25,oz
2574,BEAN KIDNEY DARK RED,6,/,,#10
2575,SPICE GARLIC POWDER,1,/,30,lb
2576,LID PLAS FOR 12 & 16-22 OZ,16,/,125,ct
2577,SOUP CREAM OF MUSHROOM,12,/,50,oz
2578,MARMALADE ORANGE CUP,200,/,.5,oz
2579,MIX MUFFIN HONEY BRAN COMPLT,6,/,5,lb
2580,CEREAL CHEERIO GLUTEN FR,70,/,.625,oz
2581,CEREAL WHEAT BRAN BWLPK,96,/,.875,oz
2582,APPLE SLICE IN WATER PK 6.5 LB,6,/,,#10
2583,SQUASH ZUCCHINI FCY LOCAL,1,/,20,lb
2584,RICE JASMINE,1,/,25,lb
2585,CUP PORTION PLAS TRANS 2OZ,10,/,250,ct
2586,FISH FILET FRSH OF THE WEEK,1,/,10,lb
2587,CIRCLE PZZ CORR 14IN W/K C-FLT,100,/,14,in.
2588,BOX PIZZA 16 W/K B-FLT 1-7/8,50,/,16x16,""""
2589,CONTAINER FOAM RND WHT SQT 8OZ,20,/,50,ct
2590,YOGURT BLUEBERRY GREEK NON FAT,12,/,5.3,oz
2591,BEAN PINTO FCY,6,/,,#10
2592,APPLE GALA FRSH 80 CT,1,/,40,lb
2593,ICE CREAM VAN CUP 4 OZ,48,/,4,oz
2594,CRAB IMIT FLAKE STYL,6,/,2.5,lb
2595,PASTA LASAGNA SHEET FLAT PRCK,40,/,4,oz
2596,BEEF BRISKET DCKL-OFF CH IAP,5,/,12,#avg
2597,CORN WHL KERNEL GR A,1,/,30,lb
2598,EGG SHELL LG WHT PAST USDA AA,1,/,15,dz
2599,CLEANER GRL QUICKCLEAN,4,/,32,oz
2600,YOGURT PLAIN NFAT,6,/,32,oz
2601,BREAD FRENCH BAGUETTE,15,/,10.5,oz
2602,PORK LOIN BNLS CC ALWYS TNDR,2,/,8-9,#av
2603,LETTUCE SPRING MIX TENDER LEAF,1,/,3,lb
2604,CHEESE SPREAD LOAF PAST PROC,6,/,5,lb
2605,RICE JASMINE,2,/,5,lb
2606,MUSHROOM SHIITAKE MED W/STEM,1,/,5,lb
2607,CONTAINER PLAS LID CMBO BLK,150,/,16,oz
2608,SEASONING BLEND SALT FREE,6,/,21,oz
2609,ICE CREAM CONE CARAMEL CHAMP,1,/,24,ct
2610,CHIP TORTILLA RND,28,/,3,oz
2611,SAUCE GARLIC CHILE,4,/,0.5,gal
2612,FIG DRIED BLK MISSION,1,/,5,lb
2613,DOUGH COOKIE TURTLE,240,/,1.33,oz
2614,POTATO IDAHO #2 6OZ MIN CTN,1,/,50,lb
2615,SAUCE WORCESTERSHIRE,4,/,1,gal
2616,COOKIE VANILLA WAFER BULK PACK,6,/,13.3,oz
2617,CUP PAPER CLD 16 OZ WHT,20,/,50,ct
2618,BAG PLAS 6.5X7IN HI-DEN SADDLE,1,/,2000,ct
2619,SALT SEASONED,12,/,16,oz
2620,JELLY GRAPE CUP,200,/,.5,oz
2621,MIX MUFFIN CORN COMPLT,6,/,5,lb
2622,CEREAL RAISIN BRAN BWLPK,96,/,1.25,oz
2623,YOGURT VANILLA CUPCAKE WHIP,12,/,4,oz
2624,FILTER PAPER COF URN 6GL 21X9,250,/,,ea
2625,DRINK MIX LEMONADE DIET,12,/,2,gal
2626,SORBET FRUIT STWBRY SUG FREE,48,/,3,oz
2627,PEPPER RED LARGE,1,/,11,lb
2628,CHEESE MASCARPONE TUB USA,4,/,5,lb
2629,TURKEY BRST SKIN-ON BNLS RAW,2,/,10,#av
2630,PASTA SHELL STFD W/CHEESE 2.75,4,/,24,ct
2631,TURKEY BURGER ALL WHITE 4 OZ,40,/,4,oz
2632,CHEESE MUENSTER RED RIND,6,/,6,#avg
2633,SPOON PLAS TASTING WHT 3IN,1,/,3000,ct
2634,SAUCE CHILI HOT SRIRACHA,12,/,28,oz
2635,GRAPE GREEN SDLS FRESH,1,/,4,lb
2636,PUDDING RICE FRSH RTU,48,/,4,oz
2637,POTATO FRY 1/4 SS XL,6,/,4.5,lb
2638,ICE CREAM SANDWICH NEAPOLITAN,24,/,6,oz
2639,SOUP FAGIOLA PASTA CONC,3,/,4,lb
2640,LID PLAS RECLS TRAVELOCK WHT,10,/,100,ct
2641,WATER SPRING,48,/,8,oz
2642,CUP HOT 12 OZ SBC PCF,1000,/,,ea
2643,CUP HOT 16 OZ SBC PCF,1000,/,,ea
2644,CONTAINER PLAS MICRO BLK W/LID,150,/,24,oz
2645,PASTA TORTELLINI CHS,1,/,10,lb
2646,APPLE GRANNY SMITH FRSH,1,/,12,ct
2647,PIE CREAM BSTN,6,/,33,oz
2648,CONTAINER PLAS HNG BLK/CLR MW,100,/,,6x9x3
2649,CEREAL HOT GRITS QUICK,8,/,5,lb
2650,FISH FILET SCUP FRSH,1,/,10,lb
2651,SUGAR TURBINADO,1200,/,4.5,gm
2652,OLIVE GREEN PTD CASTL CUCV,2,/,2,kg
2653,WATER SPRING SPORT TOP,24,/,700,ml
2654,TOMATO 2 LAYR FRSH 4X4,1,/,32,ct
2655,PLATE PAPER UNCOATED 9IN LGT,12,/,100,ct
2656,SCALLOP SEA DRY IQF U10 USA,2,/,5,lb
2657,SPICE PEPPER BLACK WHL,3,/,5.75,lb
2658,TRAY FOAM LAM WHT SERV BULK,100,/,,14x18
2659,RAVIOLI BEEF SQUARE,2,/,5,lbs
2660,TOMATILLO WHL,6,/,,#10
2661,STRAW JUMBO 7.75 BLK,10,/,500,ct
2662,"STIRRER PLAS BLK 5.25"" BS5BLK",10,/,1000,ct
2663,BOX POPCORN PAPR 5X2X7.5,500,/,,ct
2664,TRAY CARRY 4 CUP 8-22OZ,1,/,300,ct
2665,PLATE PAPER PULP WHT 8.75,4,/,125,ct
2666,SODA GINGER ALE REG,48,/,8,oz
2667,VEAL PATTY LUNCHEON RAW UNBRD,40,/,4,oz
2668,CONTAINER PAPER 16/PAPER LID,250,/,,ea
2669,PASTA TORTELLINI CHEESE PRECKD,3,/,3,lb
2670,CATFISH FILET SHANK IQF 3-5,1,/,15,lb
2671,CUP PAPER CLD DMR-16OZ PEPSI,20,/,50,ct
2672,BREAD PULLMAN WHEAT 1/2 SLI,10,/,24,oz
2673,BREAD RYE MARBLE DELI 9/16SLI,6,/,32,oz
2674,BUN HOT DOG WHITE 6 HINGD,12,/,12,cnt
2675,FRANK ALL-MEAT 10X1,1,/,10,lb
2676,WATER FLAVOR VITMN BIB ESSNTL,1,/,2.5,gal
2677,WATER FLAVOR VITMN BIB REVIVE,1,/,2.5,gal
2678,CRANBERRY WHL IQF,1,/,20,lb
2679,TOMATILLO DESHUCKED #1,1,/,20,lb
2680,SOUP VEG BEEF CONC,3,/,4,lb
2681,RAVIOLI STRIPED SPINACH/CHZ PC,2,/,3,lb
2682,APTZR POTSTICKER VEG PREMIUM,1,/,100,ct
2683,JUICE CRANBERRY PLS BTL,12,/,11.5,oz
2684,LEMONADE FRESH RSPBRY PLS BTL,12,/,11.5,oz
2685,SPOON SOUP PLAS HVY BLK FULL,1,/,1000,ct
2686,CHEESE SWISS SNDW CUT GRADE C,2,/,8,#avg
2687,SUGAR GRANULATED XFINE CANE,10,/,4,lb
2688,LID PLAS PET CLR 243248OZ 8.5,300,/,,ct
2689,MILK CONDENSED SWEETENED,24,/,14,oz
2690,LID PLAS WHT SIP HOT F/8-10 OZ,10,/,100,ct
2691,COOKIE SNDW CHOC CREME RDUC FT,60,/,1.7,oz
2692,FUEL GAS BUTANE CANISTER,12,/,8,oz
2693,BOWL PLAS BLK PET 48 OZ,1,/,100,ct
2694,PASTA FETTUCCINE 10,4,/,5,lb
2695,BUTTER SOLID UNSLTD USDA AA,36,/,1,lb
2696,CHERRY MARA STEM JUMBO PLAS,4,/,1,gal
2697,SAUSAGE ITAL CKD 5X1 ULTIMAT,2,/,5,lb
2698,CHIP POTATO CRISP SRCRM ONION,60,/,.875,oz
2699,CHERRY MARA STEM LG.,6,/,1/2,gal
2700,CIRCLE PZZ CORR 16 W/K C-FLT,100,/,16,""""
2701,BOX PIZZA 8 W/K B-FLT 1-7/8,50,/,8x8,""""
2702,BOX PIZZA 14 W/K B-FLT 1-7/8,50,/,14x14,""""
2703,CHICKEN THIGH BNLS SKLS FIL,71,/,4.5,oz
2704,CAP BOUFFANT 24 WHITE,5,/,100,ct
2705,SAUCE RASPBERRY DESIGNER,12,/,15,oz
2706,INSERT PLAS 4OZ CUP,1,/,,1200
2707,FLOUR UNBLCHD FULL STRENGTH,1,/,50,lb
2708,ASPARAGUS FRESH LG,1,/,11,lb
2709,YOGURT PEACH OIKOS TRPL ZERO,12,/,5.3,oz
2710,PLATE PAPER PULP WHT 6IN,8,/,125,ct
2711,SHERBET RASPBERRY CUP 4 OZ,48,/,4,oz
2712,SPOON PLAS WHT MED WRPD,1000,/,,ct
2713,ICE CREAM CHOC MARBLE CUP,48,/,4,oz
2714,BUTTER CUP WHPD AA 90 CT,720,/,5,gm
2715,BUTTER SOLID SLTD,36,/,1,lb
2716,COUSCOUS INTL MIDDLE EASTERN,1,/,8,lb
2717,LETTUCE SPRING MIX CONV PLLW,1,/,3,lb
2718,BANANA CHIP DRIED,1,/,5,lb
2719,MAYONNAISE REAL,4,/,1,gal
2720,CHEESE CREAM ORIG LOAF,6,/,3,lb
2721,MAYONNAISE REAL PACKET,200,/,7/16,oz
2722,CHEESE CREAM GARDEN VEGETABLE,100,/,1,oz
2723,CUP PAPER COLD DMRE-22,1000,/,22,oz
2724,LID PLAS BIO WHITE LFRFHE 12,20,/,50,ct
2725,MUSHROOM CRIMINI BTN SLI 3/16,1,/,5,lb
2726,ROOT TURMERIC FRSH ORGANIC,1,/,5,lb
2727,SEASONING BLEND ZSTY PEP,1,/,19,oz
2728,POTATO FINGERLING RUSSN BAN,1,/,50,lb
2729,BAG COOKIE PENNY,1000,/,,each
2730,CARROT SLI KK GR A,1,/,30,lb
2731,BEAN BAKED BEAN POT,6,/,,#10
2732,BAMBOO SHOOT SLICED,12,/,15,oz
2733,DRESSING ITALIAN GOLDEN,4,/,1,gal
2734,SAUCE TERIYAKI,4,/,1,gal
2735,CRACKER CLUB,300,/,2,pk
2736,CRACKER SALTINE ZESTA,500,/,2,pk
2737,GELATIN LEMON,12,/,24,oz
2738,FLOUR HI-GLUTEN ALL TRUMP,1,/,50,lb
2739,JUICE PNAPL 100%,12,/,46,oz
2740,BEET RED FRSH W/O TOPS,1,/,5,lb
2741,HAM PIT BNLS CKD,2,/,14.5,#
2742,KETCHUP PACKET FCY,200,/,11,gm
2743,RELISH SWT GRN FCY PR,4,/,1,gal
2744,JELLY MIXED FRUIT CUP,200,/,.5,oz
2745,MIX CAKE CARROT W/ICING,6,/,5,lb
2746,TEA HOT BAG BLK ENV,10,/,100,ct
2747,BOWL PLAS 12 OZ WHITE,8,/,125,ct
2748,COVER TOILET SEAT,20,/,250,ct
2749,TRAY WHT SERVING FARM,100,/,,14x18
2750,"NAPKIN DINNER 3P, 1/4-FLD WHT",8,/,250,ct
2751,CUP PAPER FRENCH FRY 12 OZ,20,/,50,ct
2752,CHEESE PARM GRTD DRY TUB S.AM,4,/,5,lb
2753,RAVIOLI CHEESE,1,/,10,lb
2754,CHEESE CHEDDAR MLD MINI YEL IW,96,/,.75,oz
2755,CHEESE SWISS SNDW CUT GRADE A,6,/,8,lb
2756,FLOUR HI-GLUTEN ALL TRUMP UNBL,1,/,50,lb
2757,SHERBET ORANGE COOL TUBES,2,/,24,ct
2758,MONKFISH FIL CHEEKS FRSH,1,/,10,lb
2759,APTZR EGGROLL SANTA FE CHKN,1,/,15,lb
2760,TOMATO DRIED JULN SUN,1,/,5,lb
2761,SKATE FILET CHEEKS,1,/,10,lb
2762,POTATO CKD MASHED YELLOW DELUX,4,/,6,lb
2763,LID PLAS CLR PET DOME F/48 OZ,1,/,100,ct
2764,CHIP TORTILLA REDUCED-FAT ROUN,64,/,1.45,oz
2765,LID PLAS LONG SKIRT F/32 OZ,6,/,100,ct
2766,SQUASH ZUCCHINI LG FRSH,1,/,40,lb
2767,TOPPING RASPBERRY PLATESCAPER,12,/,19.5,oz
2768,BAGEL PLAIN WHL GRAIN SLI T&S,72,/,3,oz
2769,EGG HARDBOILED WHL PLLW PAK,12,/,12,ct
2770,MIX BISCUIT VALUE COMPLT,6,/,5,lb
2771,POTATO RED SKIN QTRD WDG,2,/,10,lb
2772,LINER TRASH 50-55 GAL GRN RYC,1,/,100,ct
2773,CHEESE SWISS RDUC FAT LOAF,1,/,8,#avg
2774,CONTAINER PLAS 8 OZ TEAR STRIP,272,/,8,oz
2775,ONION PEARL PLD FRSH,1,/,5,lb
2776,CUP FOAM 24 OZ,25,/,20,ct
2777,BEAN CANNELLINI,6,/,,#10
2778,INSERT PLAS CUP LID,1,/,,1200
2779,FRESHENER AIR DUMPSTER,4,/,946,ml
2780,SPICE BLEND KEY WEST BIG & BLD,1,/,20,oz
2781,PIE CHERRY HI RTB,6,/,47,oz
2782,PUDDING BANANA RTU TFF,6,/,,#10
2783,STEAK SWISS CUBED SPECIAL CAB,30,/,5,oz
2784,SQUASH ZUCCHINI FRSH ORGANIC,1,/,24,lb
2785,RAVIOLI JUMBO THREE CHS,2,/,5,lb
2786,DETERGENT POT/PAN LIQUID SCOUT,2,/,2,gal
2787,ICE CREAM MINT CHOC CHIP,1,/,3,gal
2788,BREAD CRUMB PLAIN FINE GRIND,6,/,5,lb
2789,CHICKEN BRST FIL BRD HMSTY,40,/,4,oz
2790,ONION RED SLI 1/8,2,/,5,lb
2791,BOX POPCORN PAPR 6.5X2.5X9.5,250,/,,each
2792,ICE CREAM CUP CHOC NFAT NSA,48,/,4,oz
2793,JUICE ORANGE CRTN 100%SQZ PLAS,4,/,128,oz
2794,PINEAPPLE CHUNK LT SYRP NO PRV,1,/,8,lb
2795,SAUCE BBQ CUPS,200,/,3/4,oz
2796,SODA LEMON LIMONATA CAN,24,/,12,oz
2797,SNACK BAR PNUT BTR DARK CHOC,6,/,12,ct
2798,SNACK BAR SPEC K PROTEIN ASSTD,4,/,8,ct
2799,CUP HOT 20 OZ WPS PLA,600,/,20,oz
2800,BROCCOLI CROWN FRSH ICELS,1,/,20,lb
2801,CHICKEN MEAT DICE WHT.5 LSOD,2,/,5,lb
2802,SALAD FRESH MIXED BRY,10,/,5.1,oz
2803,SOUP CHICKEN BROTH PHO,4,/,3,lb
2804,FILTER GREASE FRYMST 16.5X25.5,100,/,,ea
2805,COOKIE VAN SNDWCH LOFAT,4,/,12,pk
2806,WATER SPRING IMPORTED GLS,24,/,.5,ltr
2807,POTATO DICED CKD RSST SKLS SMA,2,/,10,lb
2808,POTATO DICED CKD RSST SKLS MED,2,/,10,lb
2809,POTATO SLI CKD RSST SKLS 1/8,2,/,10,lb
2810,BUTTER CUP USDA AA,720,/,5,gm
2811,PIE LEMON MERNGE NSA,4,/,35,oz
2812,BAG PAPR BRN DIE CUT 100% REC,1,/,500,ct
2813,MUSHROOM PORTABELLA MED FRSH,1,/,5,lb
2814,JUICE ORANGE FRSH,4,/,1,gal
2815,CAKE LOAF PULLMAN SLI VAR #9,4,/,18,sli
2816,CIRCLE PZZ CORR 14 W/K C-FLT,100,/,14,""""
2817,CIRCLE PZZ CORR 10 W/K C-FLT,250,/,10,""""
2818,PORK GRND 80\20,2,/,5,lb
2819,BOX PIZZA 14 W/K B-FLT 1-5/8,50,/,14x14,""""
2820,CONTAINER FOAM RND WHT SQT12OZ,500,/,12,oz
2821,COOKIE CHOC CREME SUGAR FREE,120,/,3,ct
2822,MAYONNAISE SQUEEZE BTL USA,12,/,20,oz
2823,BEAN GREEN CUT,1,/,30,lb
2824,BREAD TEXAS TOAST WHITE 3/4 SL,6,/,24,oz
2825,ICE CREAM BAR DARK CHOC,12,/,3,oz
2826,SALAD VEG SHREDDED MEDLY,10,/,9,oz
2827,ICE CREAM CHOC CUP FF/NSA 4 OZ,48,/,4,oz
2828,RICE CAKE MINI CHDR CHS,60,/,.67,oz
2829,SODA GINGER ALE DIET,48,/,8,oz
2830,PETIT FOUR GRAND CRU,2,/,60,ct
2831,DRESSING ITAL GOLDEN,60,/,1.5,oz
2832,DRESSING RANCH CRMY,60,/,1.5,oz
2833,ROLL SUB WHT 6,18,/,6,ct
2834,ICE CREAM STWBRY,1,/,3,gal
2835,LOBSTER TAIL N.ATL PREM 5-6OZ,1,/,10,lb
2836,CRAB MEAT CLAW PSTRZD ASIA,6,/,1,lb
2837,PRUNE DRIED SUN PITTED 50/60CT,1,/,5,lb
2838,CARROT BABY RNBOW ORGANIC,2,/,5,lb
2839,BRATWURST 5X1 PRCK 5.5 A/C,2,/,5,#
2840,POTATO BAKING ORGANIC,1,/,50,lb
2841,ICE POPS ASST. POP STIX,4,/,20,ct
2842,TOPPING CHOCOLATE PLATESCRAPER,12,/,19.5,oz
2843,YOGURT VANILLA GRK BAG OIKOS,2,/,6,lb
2844,TOFU EXTRA FIRM FRSH,12,/,12,oz
2845,WATER BOTTLED SPRING RTD,35,/,16.9,oz
2846,BOX PIZZA 10 K/K B-FLT 1-7/8,50,/,10x10,""""
2847,BOX PIZZA 18 W/K B-FLT 1-7/8,50,/,18x18,""""
2848,COOKIE LEMON CREME SUGAR-FREE,120,/,3,ct
2849,CLEANER FLOOR SANI WSH N WALK,1,/,2.5,gal
2850,TOMATO FRESH MIXED MEDLEY,1,/,10,lb
2851,OLIVE KALAMATA PITTED,6,/,2,kilo
2852,LID DOME 24/40 BOWL,400,/,,ct
2853,SPICE MARJORAM LVS,1,/,4,oz
2854,"STIRRER COFFEE WOOD 5.5""",10,/,1000,ct
2855,SODA COLA DIET,48,/,8,oz
2856,BUTTER SOLID UNSLTD,36,/,1,lb
2857,PRUNE PITTED IN PEAR JUICE,6,/,,#10
2858,CURRANT DRIED ZANTE,1,/,5,lb
2859,COOKIE CRUMB OREO MED GRIND,12,/,1,lb
2860,SAUCE SWEET & SOUR CUP,200,/,3/4,oz
2861,ONION SWEET FRSH,1,/,40,lb
2862,FORK PLAS PP HVY WGT FULL WRPD,1,/,1000,ct
2863,GLOVE SYNTHETIC HYBRID PF LRG,5,/,200,ct
2864,ONION SWEET FRSH,1,/,10,lb
2865,CLEANER OVEN CONVOCARE C,1,/,2.5,gal
2866,BREAD CIABATTA RUSTIC PARBKD,20,/,16,oz
2867,SALAD THREE BEAN FANCY,6,/,,#10
2868,SAUCE STEAK 57,24,/,5,oz
2869,SAUCE SWEET & SOUR,1,/,1,gal
2870,GELATIN STRAWBERRY,12,/,24,oz
2871,FILLING PIE PEACH,6,/,,#10
2872,CORN BABY WHL IN BRINE 150/180,6,/,,#10
2873,SOUP CREAM OF CHICKEN,12,/,50,oz
2874,TOMATO ROMA,1,/,10,lb
2875,JUICE PNAPL BTL BAR MIXER,12,/,32,oz
2876,ICING RTU VANILLA CREAM,2,/,11,lb
2877,TEA BAG DECAF IND HERTIAGE,5,/,100,ct
2878,PRESOAK LIQ SUMA DIP 4X1 GAL,4,/,3.78,lt
2879,CEREAL FROOT LOOPS,4,/,31,oz
2880,CRACKER RITZ,300,/,2,pk
2881,CEREAL CINNAMON TST CRUN BWLPK,96,/,1,oz
2882,DRESSING BALSAMIC VIGNETTE,1,/,1,gal
2883,EGG HARDCOOKED & PLD PLLW PK,12,/,12,ct
2884,BAG CARRYOUT COMPOST PLA TSHRT,1000,/,,12x22
2885,SAUCE SWEET & SOUR RTU,6,/,.5,gal
2886,GREEN COLLARD ORGANIC,1,/,24,ct
2887,BUTTERSCOTCH CHIP 1000 CT,1,/,5,lb
2888,ONION CHP DEHYDRATED,1,/,3,lb
2889,SAUCE SOY,12,/,5,oz
2890,DRESSING ITALIAN PKT,102,/,1.5,oz
2891,SAUCE TABASCO HOT,12,/,12,oz
2892,CRACKER WHEAT WHEATSWORTH,500,/,2,pk
2893,PIE CRUST GRAHAM CRACKER,24,/,9,in
2894,SAUSAGE CHORIZO LINK SPCY,40,/,4,oz
2895,BROTH MIX CHICKEN SOD FREE,6,/,50,ct
2896,CONTAINER FIBER BAGASSE 8X8,1,/,150,ct
2897,LID PLAS FOR 8 OZ BOWL TRAN,1000,/,,ea
2898,CUP PAPER CLD 32 OZ WHT,12,/,40,ct
2899,CHEESECAKE MIX,6,/,4,lb
2900,JELLY ASST CUP GRAP SB MIXFRT,200,/,.5,oz
2901,CEREAL FROSTED FLAKE BWLPK,96,/,1,oz
2902,MIX CAKE WHITE COMPLT,6,/,5,lb
2903,CANDY M&M PLAIN 1.69 OZ,1,/,36,ct
2904,COCOA MIX INSTANT DARK CHOC,12,/,1.75,lb
2905,BEAN GARBANZO FCY NO SULFITE,6,/,,#10
2906,VINEGAR WHITE WINE W/CHAM STOC,4,/,1,gal
2907,CHEESE PARM SHRD FANCY USA,4,/,5,lb
2908,GARLIC CHOPPED IN OIL,6,/,32,oz
2909,PICKLE SLI DILL HAM SC 1/8 PR,1,/,5,gal
2910,PUDDING RICE ZTF,6,/,,#10
2911,SOUP VEGETABLE,12,/,50,oz
2912,CHOCOLATE WHITE CONFECT#W11 NV,1,/,5,kilo
2913,SYRUP SPRITE 5X1 BIB,1,/,5,gal
2914,LID PLAS FITS4J6/6J6/3.5J6/SY6,10,/,100,ct
2915,CHEESE ASIAGO WHL 1/2 12M BLWX,1,/,12,#avg
2916,SAUCE STEAK A-1,12,/,15,oz
2917,CORN CREAM STYLE GOLDEN FCY,6,/,,#10
2918,CRACKER CRSHD MEDIUM,1,/,10,lb
2919,DRINK MIX LEMONADE PINK,12,/,24,oz
2920,SOUP TOMATO LO-SODIUM,12,/,50,oz
2921,JUICE DRINK STRWBRY PROTEIN,8,/,15.2,oz
2922,BEAN PINTO DRIED MULTI-CLEAN,1,/,50,lb
2923,JUICE CONC FRZ LMNADE 15% 5+1,3,/,3,l
2924,COOKIE FIG NEWTON CAKE,120,/,1,oz
2925,ICE CREAM BUTTER PECAN,1,/,3,gal
2926,ICE CREAM CHOC CHP CKIE DOUGH,1,/,3,gal
2927,BREAD FLAT LAVASH 8X11,48,/,3.7,oz
2928,TRAY CARRY 2 CUP 8-22OZ W/FOOD,1,/,400,ct
2929,DOUGH STRUDEL APL CINN BRAIDED,54,/,4.5,oz
2930,BEEF CORNED BRSKT RAW DT RED,2,/,14,#avg
2931,BUTTER CHIP CONT SLTD 59 CT,5,/,3.4,lb
2932,SODA COLA DIET CAFFEINE FREE,48,/,8,oz
2933,DRESSING ASIAN SESAME,4,/,1,gal
2934,BAG PAPER 12LB HVY DUTY KRAFT,2,/,250,ct
2935,YOGURT STRAWBERRY WHOLE MILK,6,/,32,oz
2936,BREAD RAISIN PECAN OVAL P/B,12,/,16.0,oz
2937,GRAPEFRUIT SECTION LS NO PRV,1,/,8,lb
2938,MAYONNAISE EXTRA HVY 4/1 GAL,4,/,1,gal
2939,DRESSING VINAIGRETTE RASPBY FF,60,/,1.5,oz
2940,LID PLAS FLT WHT HOT 6-32OZ,10,/,50,ct
2941,ORANGE MANDARIN SEGMNT WHL,6,/,,#10
2942,SAUCE SZECHUAN,4,/,.5,gal
2943,LID PLAS DOME CLR RECT 14X10,1,/,50,ct
2944,DOUGH PIZZA SHEETED 16IN,20,/,16,""""
2945,SAUCE SESAME,4,/,.5,gal
2946,MELON WATERMELON SDLS FRESH,1,/,1,ct
2947,SYRUP PANCAKE & WFFL SUG FREE,200,/,1,oz
2948,SQUASH BUTTERNUT PLD FRSH WSTN,2,/,10,lb
2949,HONEY PURE CUP,200,/,12,gm
2950,POTATO HASH BRN REDI-SHRD,6,/,2.5,lb
2951,DETERGENT LIQUID SUMA NOVAL6,1,/,18.9,lt
2952,CRACKER SALTINE WALDORF S/F,300,/,2,pk
2953,GELATIN ASSORTED CITRUS,12,/,24,oz
2954,GELATIN LIME,12,/,24,oz
2955,SOUP VEGETABLE BEEF EZO,24,/,7.25,oz
2956,MIX SEASONING SLOPPY JOE,6,/,15,oz
2957,PEANUT BUTTER CUP,200,/,.75,oz
2958,FILTER PAPER URN U-3 18X7,250,/,,ea
2959,CEREAL APPLE JACKS,4,/,31,oz
2960,POPCORN KERNEL YELLOW,1,/,20,lb
2961,SYRUP AGAVE,4,/,750,ml
2962,PEA BLACKEYE DRIED,1,/,20,lb
2963,DETERGENT LIQ NOVA L6,4,/,1,gal
2964,RAISIN SEEDLESS,12,/,2,lb
2965,LETTUCE ICEBRG ROM 50/50 W/CLR,4,/,5,lb
2966,SHORTENING FRY LIQ CREAMY ZTF,1,/,35,lb
2967,NAPKIN BEV 1/4F 2P WHT,6,/,500,ct
2968,CHEESE CREAM LIGHT,6,/,3,lb
2969,OIL CANOLA/OLIVE BLEND 90/10,6,/,1,gal
2970,CHEESE FETA PAILS,2,/,9,lb
2971,SAUSAGE PORK PTY W/H RAW SAGE,96,/,2,oz
2972,FENNEL ANISE FRSH ORGANIC,1,/,12,ct
2973,BREAD NAAN DIPPERS MINI,2,/,3.86,lb
2974,BOX PIZZA 8 K/K B-FLT CHCGO,50,/,8x8,""""
2975,JUICE LIME PSTRZD ULTRA PREM,6,/,1,qt
2976,SPICE FIVE PWDR,1,/,16,oz
2977,BREAD BAGUETTE FRCH DEMI PRBKD,72,/,4.5,oz
2978,PICKLE GHERKIN SWT 171-184 CT,4,/,1,gal
2979,NOODLE CHOW MEIN,6,/,,#10
2980,SAUCE PEPPER CAYENNE RED HOT,12,/,12,oz
2981,SAUCE WORCESTERSHIRE BTL,12,/,10,oz
2982,CRACKER GRAHAM HONEY,1,/,10,lb
2983,GELATIN ASSORTED RED,12,/,24,oz
2984,GELATIN ASSORTED RED DIET,18,/,2.75,oz
2985,SUGAR SUB BLUE PACKET,1,/,2000,ct
2986,JELLY ASST #5 CUP 80G80MF40S,200,/,.5,oz
2987,HAM BLACK FOREST BNLS FRSH,2,/,11,#avg
